,Gene_symbol
0,ACVR2A
1,APC
2,ARID1A
3,ARID1B
4,ARID2
5,ATM
6,AXIN1
7,AXIN2
8,BAP1
9,BLM
10,BRD7
11,CACNA1D
12,CASP8
13,CDH11
14,CDKN1A
15,CDKN2A
16,CTNNB1
17,CUX1
18,DHX9
19,DICER1
20,DNAJB1
21,ERBB2
22,FAT4
23,GMPS
24,GNAS
25,HNF1A
26,HRAS
27,IDH1
28,IL6ST
29,KDM6A
30,KEAP1
31,KMT2D
32,KRAS
33,MDM2
34,MTOR
35,MYC
36,NBEA
37,NF2
38,NFE2L2
39,NRAS
40,PIK3CA
41,PRKACA
42,PTK6
43,PTPN13
44,RB1
45,RPS6KA3
46,SMAD2
47,SMARCA4
48,TERT
49,TP53
50,TSC2
51,WRN
